Class,Date,Part 1,Part 2,Part 3
Week 1,1/27/2026,Course Overview,"Anatomy, Grouping & Unit of Analysis",Data Explore in 3 softwares
Week 2,2/3/2026,Level of Measurement Descriptive Statistics,Measures of Variablity and Association,Data Explore in 3 softwares
Week 3,2/10/2026,Data Visualization,Data Visualization in Tableau,Data Visualization in Tableau
Week 4,2/17/2026,Communicating with Data in Writing,Communicating with Data Orally,Work Time
Week 5,2/24/2026,Problem Definition,Launch Analysis Project,Work Time
Week 6,3/3/2026,Inference,Rstudio Descriptive Statistics,Work Time
Week 7,3/10/2026,Hypothesis Testing,Rstudio Inferential Statistics,Work Time
Week 8,3/24/2026,Pre-Coaching Work ,Work Time,Work Time
Week 9,3/31/2026,Coaching Sessions,Work Time,Work Time
Week 10,4/7/2026,Communicating with Data Documenting Work,Work Time,Work Time
Week 11,4/14/2026,Analysis Project Final Presentations,Analysis Project Final Presentations,The Research Proposal
Week 12,4/21/2026,Advanced Analytics: Sample Design,Advanced Analytics: Survey Design,
Week 13,4/28/2026,Advanced Analytics: Machine Learning,Advanced Analytics: Experiment Design,Ethics
Week 14,5/5/2026,Research Proposal Presentations,Research Proposal Presentations,Final Exam Prep
Final Exam,5/12/2026,Final Exam Tuesday 05/12 07:00-09:00PM,,
